NAV_Date,NAV_Value
10/07/2015,52.6206
13/07/2015,53.2379
14/07/2015,53.206
15/07/2015,53.6771
16/07/2015,54.2089
17/07/2015,54.2195
20/07/2015,54.1946
21/07/2015,53.7291
22/07/2015,54.364
23/07/2015,54.1018
24/07/2015,53.6747
27/07/2015,52.6687
28/07/2015,52.5169
29/07/2015,52.7546
30/07/2015,53.0449
31/07/2015,53.7414
03/08/2015,53.8018
04/08/2015,53.6371
05/08/2015,53.9561
06/08/2015,54.0856
07/08/2015,53.9421
10/08/2015,53.6974
11/08/2015,53.3021
12/08/2015,52.5968
13/08/2015,52.6416
14/08/2015,53.6582
17/08/2015,53.3997
18/08/2015,53.3322
19/08/2015,53.5085
20/08/2015,52.7427
21/08/2015,52.2859
24/08/2015,49.2127
25/08/2015,49.6591
26/08/2015,49.1139
27/08/2015,50.0852
28/08/2015,50.418
31/08/2015,50.2289
01/09/2015,49.1099
02/09/2015,48.6844
03/09/2015,49.3431
04/09/2015,48.2997
07/09/2015,47.7253
08/09/2015,48.5272
09/09/2015,49.3334
10/09/2015,49.1454
11/09/2015,49.1528
14/09/2015,49.67
15/09/2015,49.4005
16/09/2015,49.8368
18/09/2015,50.3559
21/09/2015,50.3263
22/09/2015,49.2904
23/09/2015,49.5027
24/09/2015,49.6402
28/09/2015,49.1821
29/09/2015,49.4798
30/09/2015,50.1408
01/10/2015,50.152
05/10/2015,51.2088
06/10/2015,51.4194
07/10/2015,51.5728
08/10/2015,51.27
09/10/2015,51.649
12/10/2015,51.3576
13/10/2015,51.2823
14/10/2015,51.1324
15/10/2015,51.5812
16/10/2015,51.9842
19/10/2015,52.2224
20/10/2015,52.1378
21/10/2015,52.0803
23/10/2015,52.3643
26/10/2015,52.1432
27/10/2015,51.9685
28/10/2015,51.5809
29/10/2015,51.2067
30/10/2015,50.9238
02/11/2015,50.828
03/11/2015,50.8897
04/11/2015,50.7602
05/11/2015,50.2257
06/11/2015,50.2182
09/11/2015,49.9775
10/11/2015,49.1638
13/11/2015,49.0304
16/11/2015,49.3089
17/11/2015,49.5029
18/11/2015,48.8349
19/11/2015,49.5346
20/11/2015,49.6207
23/11/2015,49.5732
24/11/2015,49.4612
26/11/2015,49.7882
27/11/2015,50.1592
30/11/2015,50.1107
01/12/2015,50.2338
02/12/2015,50.0854
03/12/2015,49.6626
04/12/2015,49.1448
07/12/2015,49.0404
08/12/2015,48.6389
09/12/2015,48.076
10/12/2015,48.5208
11/12/2015,48.0634
14/12/2015,48.3113
15/12/2015,48.6303
16/12/2015,48.9436
17/12/2015,49.5285
18/12/2015,49.0126
21/12/2015,49.4658
22/12/2015,49.1634
23/12/2015,49.6624
24/12/2015,49.6315
28/12/2015,50.0315
29/12/2015,50.0552
30/12/2015,49.8494
31/12/2015,50.1643
01/01/2016,50.27
04/01/2016,49.1892
05/01/2016,49.1471
06/01/2016,48.8721
07/01/2016,47.785
08/01/2016,47.9919
11/01/2016,47.7567
12/01/2016,47.4208
13/01/2016,47.7475
14/01/2016,47.5854
15/01/2016,46.9591
18/01/2016,46.4213
19/01/2016,46.9466
20/01/2016,46.1609
21/01/2016,45.9631
22/01/2016,46.8766
25/01/2016,46.9672
27/01/2016,46.9827
28/01/2016,46.9003
29/01/2016,47.7727
01/02/2016,47.7242
02/02/2016,47.1009
03/02/2016,46.5161
04/02/2016,46.7818
05/02/2016,47.3218
08/02/2016,46.6827
09/02/2016,46.1243
10/02/2016,45.6051
11/02/2016,44.1019
12/02/2016,44.1305
15/02/2016,45.2708
16/02/2016,44.5539
17/02/2016,44.9323
18/02/2016,45.4544
19/02/2016,45.5735
22/02/2016,45.7238
23/02/2016,44.939
24/02/2016,44.3627
25/02/2016,44.0613
26/02/2016,44.4306
29/02/2016,44.1645
01/03/2016,45.6291
02/03/2016,46.5405
03/03/2016,47.2041
04/03/2016,47.2622
08/03/2016,47.2599
09/03/2016,47.5527
10/03/2016,47.2655
11/03/2016,47.4163
14/03/2016,47.6543
15/03/2016,47.1638
16/03/2016,47.4179
17/03/2016,47.5344
18/03/2016,48.1121
21/03/2016,48.7486
22/03/2016,48.8164
23/03/2016,48.8259
28/03/2016,48.1874
29/03/2016,48.0758
30/03/2016,48.943
31/03/2016,48.9369
01/04/2016,48.7792
04/04/2016,49.0647
05/04/2016,48.0985
06/04/2016,48.1664
07/04/2016,47.74
08/04/2016,47.7948
11/04/2016,48.5236
12/04/2016,48.7599
13/04/2016,49.6548
18/04/2016,50.0593
20/04/2016,50.0591
21/04/2016,50.0419
22/04/2016,49.9611
25/04/2016,49.6807
26/04/2016,50.36
27/04/2016,50.4686
28/04/2016,49.6306
29/04/2016,49.6467
02/05/2016,49.3687
03/05/2016,48.9969
04/05/2016,48.7417
05/05/2016,48.9293
06/05/2016,48.9141
09/05/2016,49.7489
10/05/2016,49.8831
11/05/2016,49.6374
12/05/2016,49.9624
13/05/2016,49.4227
16/05/2016,49.7109
17/05/2016,49.8997
18/05/2016,49.7695
19/05/2016,49.2246
20/05/2016,49.0128
23/05/2016,48.8949
24/05/2016,49.007
25/05/2016,50.1699
26/05/2016,51.012
27/05/2016,51.5563
30/05/2016,51.7801
31/05/2016,51.6638
01/06/2016,51.7887
02/06/2016,52.0326
03/06/2016,52.0608
06/06/2016,51.9661
07/06/2016,52.3772
08/06/2016,52.4183
09/06/2016,52.0329
10/06/2016,51.8196
13/06/2016,51.4433
14/06/2016,51.4321
15/06/2016,52.0451
16/06/2016,51.6845
17/06/2016,51.8705
20/06/2016,52.2993
21/06/2016,52.1826
22/06/2016,52.0928
23/06/2016,52.5153
24/06/2016,51.3641
27/06/2016,51.403
28/06/2016,51.6133
29/06/2016,52.1206
30/06/2016,52.6456
01/07/2016,52.8972
04/07/2016,53.1698
05/07/2016,52.9484
07/07/2016,52.9748
08/07/2016,52.8821
11/07/2016,53.7963
12/07/2016,54.1319
13/07/2016,54.1219
14/07/2016,54.4117
15/07/2016,54.3007
18/07/2016,54.098
19/07/2016,54.2224
20/07/2016,54.4601
21/07/2016,54.1196
22/07/2016,54.3139
25/07/2016,54.9181
26/07/2016,54.6361
27/07/2016,54.7936
28/07/2016,55.134
29/07/2016,54.9614
01/08/2016,54.9448
02/08/2016,54.8622
03/08/2016,54.3697
04/08/2016,54.4103
05/08/2016,55.2412
08/08/2016,55.4209
09/08/2016,55.215
10/08/2016,54.5722
11/08/2016,54.68
12/08/2016,55.1874
16/08/2016,54.9998
17/08/2016,54.887
18/08/2016,55.2183
19/08/2016,55.1805
22/08/2016,54.9396
23/08/2016,54.9608
24/08/2016,55.072
25/08/2016,54.7048
26/08/2016,54.5812
29/08/2016,54.7995
30/08/2016,55.6531
31/08/2016,55.938
01/09/2016,55.8647
02/09/2016,56.0864
06/09/2016,56.9308
07/09/2016,56.7789
08/09/2016,57.0042
09/09/2016,56.4685
12/09/2016,55.5087
14/09/2016,55.5784
15/09/2016,55.6847
16/09/2016,55.9208
19/09/2016,56.0998
20/09/2016,55.8943
21/09/2016,55.9034
22/09/2016,56.4723
23/09/2016,56.248
26/09/2016,55.5588
27/09/2016,55.4559
28/09/2016,55.6975
29/09/2016,54.7294
30/09/2016,54.854
03/10/2016,55.6452
04/10/2016,55.8395
05/10/2016,55.6819
06/10/2016,55.4655
07/10/2016,55.387
10/10/2016,55.4574
13/10/2016,54.5927
14/10/2016,54.6583
17/10/2016,54.2649
18/10/2016,55.2491
19/10/2016,55.1344
20/10/2016,55.3889
21/10/2016,55.389
24/10/2016,55.493
25/10/2016,55.3808
26/10/2016,54.8998
27/10/2016,54.905
28/10/2016,55.0488
01/11/2016,54.9828
02/11/2016,54.2724
03/11/2016,54.0998
04/11/2016,53.7785
07/11/2016,54.1788
08/11/2016,54.4714
09/11/2016,53.7632
10/11/2016,54.3541
11/11/2016,52.9111
15/11/2016,51.7154
16/11/2016,51.7334
17/11/2016,51.5359
18/11/2016,51.4943
21/11/2016,50.5746
22/11/2016,51.0383
23/11/2016,51.237
24/11/2016,50.8046
25/11/2016,51.7444
28/11/2016,51.8272
29/11/2016,51.9217
30/11/2016,52.4401
01/12/2016,52.2418
02/12/2016,51.5685
05/12/2016,51.8315
06/12/2016,51.924
07/12/2016,51.6641
08/12/2016,52.5768
09/12/2016,52.6716
12/12/2016,52.0964
13/12/2016,52.419
14/12/2016,52.1704
15/12/2016,51.9877
16/12/2016,51.8963
19/12/2016,51.6735
20/12/2016,51.5353
21/12/2016,51.4028
22/12/2016,50.8801
23/12/2016,50.9186
26/12/2016,50.4365
27/12/2016,51.2115
28/12/2016,51.2238
29/12/2016,51.6562
30/12/2016,52.1732
02/01/2017,52.137
03/01/2017,52.2118
04/01/2017,52.2036
05/01/2017,52.7296
06/01/2017,52.5411
09/01/2017,52.4887
10/01/2017,52.8198
11/01/2017,53.4078
12/01/2017,53.577
13/01/2017,53.5325
16/01/2017,53.6109
17/01/2017,53.5141
18/01/2017,53.636
19/01/2017,53.7505
20/01/2017,53.2069
23/01/2017,53.4777
24/01/2017,54.011
25/01/2017,54.816
27/01/2017,55.0596
30/01/2017,55.0001
31/01/2017,54.5486
01/02/2017,55.5247
02/02/2017,55.6482
03/02/2017,55.6914
06/02/2017,56.0691
07/02/2017,55.8665
08/02/2017,55.8697
09/02/2017,55.9285
10/02/2017,56.0236
13/02/2017,56.0977
14/02/2017,56.016
15/02/2017,55.6014
16/02/2017,55.9421
17/02/2017,56.2185
20/02/2017,56.5845
21/02/2017,56.7643
22/02/2017,56.8853
23/02/2017,56.9673
27/02/2017,56.6945
28/02/2017,56.6014
01/03/2017,57.0192
02/03/2017,56.7322
03/03/2017,56.7162
06/03/2017,57.1261
07/03/2017,57.0219
08/03/2017,56.8782
09/03/2017,56.9029
10/03/2017,56.952
14/03/2017,57.9485
15/03/2017,57.9315
16/03/2017,58.3814
17/03/2017,58.4213
